# Conjunto de dados sobre o percentual recolhido
# por 50 diferentes empresas
Empresa;Imposto (%)
Souza Cruz;36.9
Autolatina;28.4
General Motors;25.7
Brahma;65.4
Philip Morris;46.7
Shell;3.4
Gessy Lever;15.8
IBM;20.6
Fiat Automóveis;14.2
Nestlé;9.0
Goodyear;15.1
Esso;1.8
Mercedes-Benz;1.9
Firestone;32.7
Pirelli;17.6
Texaco;3.8
Atlantic;4.5
Skol;37.5
Consul;14.3
Santa Marina;20.3
CBA;7.7
Antarctica Paulista;46.5
Brastemp;12.1
Suzano;12.7
Philips;4.8
Petróleo Ipiranga;3.1
Johnson & Johnson;10.1
Avon;17.8
Antarctica - Rio;28.9
Alcan;7.8
Bosch;18.9
Klabin;11.0
Glasurit;11.1
Kaiser - SP;56.1
Krupp;27.0
Carrefour;2.4
Usiminas;5.2
3M;26.0
Hoechst;8.0
Poliolefinas;22.9
Cebrasp;30.0
Arno;13.9
MBR;8.0
Estrela;3.4
Solvay;13.3
Kodak;10.2
Metal Leve;14.2
Champion;9.1
Rhodia;4.8
Antarctica - Nordeste;29.4
