Amostra,Rotacao,Pressao Oleo,Pressao Combustivel,Pressao Arrefecimento,Temperatura Oleo,Temperatura Arrefecimento,Condicao Motor
1,700,2.49,11.79,3.18,84.14,81.63,1
2,876,2.94,16.19,2.46,77.64,82.45,0
3,520,2.96,6.55,1.06,77.75,79.65,1
4,473,3.71,19.51,3.73,74.13,71.77,1
5,619,5.67,15.74,2.05,78.40,87.00,0
6,1221,3.99,6.68,2.21,76.40,75.67,0
7,716,3.57,5.31,2.46,83.65,79.79,1
8,729,3.85,10.19,2.36,77.92,71.67,1
9,845,4.88,3.64,3.53,76.30,70.50,0
10,824,3.74,7.63,1.30,77.07,85.14,0
11,1230,3.43,10.84,1.83,77.41,85.92,0
12,538,4.26,7.69,2.08,80.18,81.18,1
13,1187,2.59,6.89,1.83,78.10,84.97,1
14,609,3.75,10.09,3.00,77.28,75.58,1
15,606,2.27,5.49,1.91,75.17,77.73,1
16,382,2.16,7.77,2.73,77.00,71.62,1
17,560,2.83,11.73,1.83,77.18,70.77,1
18,767,4.60,7.50,1.43,84.92,80.27,0
19,838,3.38,4.16,2.14,77.26,88.78,1
20,495,3.38,7.38,3.09,77.26,73.81,1
21,1341,4.63,6.19,1.50,76.93,78.88,0
22,1249,2.46,6.25,4.15,76.84,72.57,1
23,699,4.37,7.33,1.31,76.91,87.12,0
24,436,4.25,7.44,2.34,77.81,82.40,1
25,885,1.89,6.35,2.36,77.22,81.45,1
26,583,3.40,6.15,1.63,76.22,70.61,1
27,773,3.35,6.89,3.39,73.99,68.24,1
28,796,4.61,5.40,1.85,83.34,77.38,0
29,591,4.87,7.86,2.78,76.00,66.67,1
30,455,4.76,13.97,2.45,80.60,75.81,1
31,1053,2.53,4.21,4.71,75.84,75.98,0
32,646,2.16,8.45,3.03,75.21,86.29,1
33,799,4.63,12.31,3.17,77.58,74.08,1
34,1348,3.50,7.29,1.46,84.47,81.49,1
35,635,2.76,6.63,2.02,76.36,68.40,1
36,939,3.84,2.71,1.87,76.26,84.00,0
37,657,4.28,2.95,3.98,75.75,87.19,0
38,708,2.95,5.09,2.92,77.46,76.91,1
39,1007,2.99,4.78,2.05,76.90,82.09,1
40,773,3.20,7.75,4.53,75.85,86.37,1
41,1385,2.86,5.27,2.00,75.62,85.38,1
